fit_time,score_time,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,n_train,n_test,repeat,fold,cv_mdsum,model
49.340816020965576,0.030910968780517578,-5.686037507092397,-46.08316187286867,0.8284768561264925,449,113,0,0,e124cbe0c31d1aa727e5d0825fe76d79,rvr
60.14883875846863,0.03169512748718262,-5.716831688959596,-50.29176001271122,0.8096102375838811,449,113,0,1,e124cbe0c31d1aa727e5d0825fe76d79,rvr
39.02831983566284,0.03504824638366699,-5.268816593996331,-45.564283583966116,0.8285849376452394,450,112,0,2,e124cbe0c31d1aa727e5d0825fe76d79,rvr
36.193665981292725,0.03200101852416992,-5.977943115153835,-53.457877088273236,0.809562553371079,450,112,0,3,e124cbe0c31d1aa727e5d0825fe76d79,rvr
42.399006843566895,0.03239035606384277,-4.950180113925227,-40.291849450163326,0.8516757226160889,450,112,0,4,e124cbe0c31d1aa727e5d0825fe76d79,rvr
47.96554207801819,0.03194785118103027,-6.058785206001978,-52.90191073644597,0.8043360150861001,449,113,1,0,e124cbe0c31d1aa727e5d0825fe76d79,rvr
51.21315097808838,0.03236985206604004,-4.901199632419155,-37.62544451642053,0.8556041177136348,449,113,1,1,e124cbe0c31d1aa727e5d0825fe76d79,rvr
58.82926893234253,0.03301191329956055,-5.1732798265360795,-43.40043027073955,0.8373612402617148,450,112,1,2,e124cbe0c31d1aa727e5d0825fe76d79,rvr
44.686084032058716,0.03204798698425293,-5.489297275629121,-45.63102888851599,0.8358979448530259,450,112,1,3,e124cbe0c31d1aa727e5d0825fe76d79,rvr
44.32789492607117,0.031636953353881836,-6.480063308234324,-63.97849789842133,0.7673490131443559,450,112,1,4,e124cbe0c31d1aa727e5d0825fe76d79,rvr
33.444047927856445,0.03134512901306152,-5.460363148801388,-48.020238375378156,0.8202221288278362,449,113,2,0,e124cbe0c31d1aa727e5d0825fe76d79,rvr
41.56170296669006,0.03223013877868652,-6.033602826384103,-52.13961839431199,0.8088318787233092,449,113,2,1,e124cbe0c31d1aa727e5d0825fe76d79,rvr
37.5164430141449,0.031132221221923828,-5.322053046179824,-41.98555036282966,0.841773101141972,450,112,2,2,e124cbe0c31d1aa727e5d0825fe76d79,rvr
73.52805995941162,0.03267788887023926,-5.616360707393285,-49.150279560275706,0.8220775672125996,450,112,2,3,e124cbe0c31d1aa727e5d0825fe76d79,rvr
44.173495054244995,0.030952930450439453,-5.630178131364954,-47.222249278101266,0.824788220179412,450,112,2,4,e124cbe0c31d1aa727e5d0825fe76d79,rvr
69.85183906555176,0.03128981590270996,-5.683307241460946,-50.644793430383274,0.8120509108768365,449,113,3,0,e124cbe0c31d1aa727e5d0825fe76d79,rvr
70.46965527534485,0.08483505249023438,-5.75558124544976,-52.26649191509098,0.8061613409616737,449,113,3,1,e124cbe0c31d1aa727e5d0825fe76d79,rvr
42.44091796875,0.030743122100830078,-5.48289818827039,-43.99920258013186,0.8318012086989633,450,112,3,2,e124cbe0c31d1aa727e5d0825fe76d79,rvr
50.225541830062866,0.03139615058898926,-5.358491822393455,-40.59688556547034,0.8536396227629356,450,112,3,3,e124cbe0c31d1aa727e5d0825fe76d79,rvr
46.66776204109192,0.032408952713012695,-5.79865837156331,-50.73202523640852,0.8139792872959626,450,112,3,4,e124cbe0c31d1aa727e5d0825fe76d79,rvr
47.03723883628845,0.0317530632019043,-5.181085268172174,-42.79247102308859,0.8408221301382088,449,113,4,0,e124cbe0c31d1aa727e5d0825fe76d79,rvr
46.41770601272583,0.0320439338684082,-5.764875543898281,-50.40287365906483,0.8100265123489012,449,113,4,1,e124cbe0c31d1aa727e5d0825fe76d79,rvr
43.790804862976074,0.03217005729675293,-5.676158727818744,-48.72584843910298,0.8127587545860055,450,112,4,2,e124cbe0c31d1aa727e5d0825fe76d79,rvr
70.72608280181885,0.030179977416992188,-5.228741937079393,-42.168504291883416,0.8516052514126835,450,112,4,3,e124cbe0c31d1aa727e5d0825fe76d79,rvr
64.12131690979004,0.0318760871887207,-5.804185329442289,-49.95952051208804,0.816393537251282,450,112,4,4,e124cbe0c31d1aa727e5d0825fe76d79,rvr
